" "," "
" But cart has some errors."," Košarica javlja napake."
"""Title"" is more than %d characters long","""Naziv"" je dolg več kot %d znakov"
"%1$s has been added to your wishlist.","%1$s je bil dodan na vašo listo želja."
"%1$s incl tax.","%1$s z DDV."
"%s has been added to your cart.","%s je bil dodan v košarico."
"10:40 AM","10:40 "
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Katalog oOnly App ne bo podpiral funkcij kot so Dodaj v košarico, Dodaj na listo želja in Prijava."
"A new password has been sent.","Novo geslo je bilo poslano."
"Account","Račun"
"Account confirmation is required. Please check your email for the confirmation link.","Potrebna je potrditev računa. Prosimo preverite vašo elektronsko pošto in kliknite na povezavo za potrditev vašega računa."
"Account information has been saved.","Podatki o računu so bili shranjeni."
"Action","Akcija"
"Activate","Aktiviraj"
"Activate PayPal Checkout","Aktiviraj PayPal način zaključka naročila"
"Activation Key","Ključ za aktivacijo"
"Add App","Dodaj aplikacijo"
"Add More Templates","Dodaj več predlog"
"Add New Template","Dodaj novo predlogo"
"Add Page","Dodaj stran"
"Add to Cart","Dodaj v košarico"
"Add to Wishlist","Dodaj na listo želja"
"Additional Address","Dodatni naslov"
"Additional Countries","Dodatna država"
"Address","Naslov"
"Address 2","Naslov 2"
"Address data not specified.","Podatki o naslovi niso navedeni."
"Address does not belong to this customer.","Naslov ne spada k tej stranki."
"Address has been deleted.","Naslov je bil zbrisan."
"Address has been saved.","Naslov je bil shranjen."
"Administrative contact for this app and for app submission issues.","Kontakt za podporo za sledečo aplikacijo in morebitna vprašanja."
"Advanced Settings","Napredne nastavitve"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Po potrditvi aplikacije nas prosimo kontaktirajte na <a href=""mailto:%1$s"">%1$s</a> da vam pošljemo ključ za aktivacijo, Skrivnost aplikacije in Glavno skrivnost aplikacije.<br />Po prejemu teh podatkov, prosim izpolnite ustrezna polja.<br />Obenem vas prosimo za potrditev, da se strinjate z Urban Airship\'s pogoji poslovanja: <a href=""%2$s"" target=""_blank"">Kliknite tukaj</a>."
"AirMail Message Queue","V vrsti sporočilo Zračne pošte"
"AirMail Messages Queue","V vrsti sporočilo Zračne pošte"
"AirMail Template Preview","Predogled predloge Zračna pošta"
"AirMail message","Sporočilo Zračne pošte"
"AirMail templates","Predloga zračne pošte"
"An account with this email address already exists.","Račun s tem e-naslovom že obstaja."
"An error occurred while adding item to wishlist.","Ob dodajanju produkta na listo želja se je pojavila napaka."
"An error occurred while deleting the address.","Ob brisanju naslova se je pojavila napaka."
"An error occurred while loading category filters.","Ob nalaganju filtrov na kategorijah se je pojavila napaka."
"An error occurred while processing your order. Please contact us or try again later.","Pri obdelavi vašega naročila se je pojavila napaka. prosim, da nas kontaktirate ali poskusite malo kasneje še enkrat oddati naročilo."
"An error occurred while processing your request.","Pri obdelavi vaše zahteve se je pojavila napaka."
"An error occurred while removing item from wishlist.","Pri odstranjevanju produkta z liste želja se je pojavila napaka."
"An error occurred while removing items from wishlist.","Pri odstranjevanju produktov z liste želja se je pojavila napaka."
"Analytics","Analitika"
"Android","Android"
"App Background","App ozadje"
"App Background (landscape mode)","App ozadje (ležeč način)"
"App Background (portrait mode)","App ozdaje (pokončni način)"
"App Code","App koda"
"App Information","App podatki"
"App Name","App ime"
"App Submission History","App zgodovina potrditev"
"App Title","App naziv"
"App code required.","App zahtevana koda."
"App does not exist.","App ne obstaja."
"App has been deleted.","App je bil zbrisan."
"App has been saved.","App hje bil shranjen."
"App has been submitted.","App je bil potrjen."
"App model not loaded.","App model ni bil naložen."
"App with specified code does not exist.","App s to kodo ne obstaja."
"Appears in the info section of your app (example:  Copyright 2010 – Your Company, Inc.)","Pojavi se v info sekciji na vaši aplikaciji (primer:  Vse pravice pridržane 2010 – Spletni sistemi d.o.o.)"
"Application","Aplikacija"
"Application Key","Ključ aplikacije"
"Application Master Secret","Glavna skrivnost aplikacije"
"Application Name","Ime aplikacije"
"Application Secret","Skrivnost aplikacije"
"Apply Theme","Odobri temo"
"Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512","Odobritev bo samodejno prilagodila sliko za prikaz na trgovini in administraciji. Gradient bo prav tako odobren, tako da vam ga ni potrebno dodatno potrjevati.  Slika mora biti velika vsaj 512x512"
"Are you sure you whant to cancel a message?","Ste prepričani, da želite zbrisati to sporočilo?"
"Are you sure you whant to delete a message?","Ste prepričani, da želite zbrisati to sporočilo?"
"Are you sure you what to cancel selected records?","Ste prepričani, da želite zbrisati izbrane posnetke?"
"Are you sure you what to delete selected records?","Ste prepričani, da želite zbrisati izbrane posnetke?"
"Authentication complete.","Preverjanje pristnosti zaključeno."
"Back","Nazaj"
"Back to App Edit","Nazaj na App urejanje"
"Background Color","Barva ozadja"
"Banner on Home Screen","Baner na domači (prvi) strani"
"Billing address has been set.","Naslov za plačevanje je nastavljen."
"Buy %1$s for %2$s","Kupi %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kupi %1$s za %2$s (%3$s z DDV) vsak"
"Buy %1$s for %2$s each","Kupi %1$s za %2$s vsak"
"Can\'t add item to shopping cart.","Ne morem dodati izdelka v košarico."
"Can\'t apply the coupon code.","Uporaba tega kupona ni možna."
"Can\'t create wishlist.","Ne morem kreirati liste želja."
"Can\'t load XML.","Ne morem naložiti XML."
"Can\'t load application with code ""%s""","Ne moremo naložiti aplikacije s kodo ""%s"""
"Can\'t open submission form.","Ne morem odpreti obrazca za potrditev."
"Can\'t read file ""%s"".","Ne morem prebrati datoteke ""%s""."
"Can\'t remove the item.","Ne morem odstraniti izdelka."
"Can\'t reset theme.","Ne morem ponastaviti teme."
"Can\'t save address.","Ne morem shraniti naslova."
"Can\'t save the customer.","Ne morem shraniti stranke."
"Can\'t save theme.","Ne morem shraniti teme."
"Can\'t show configuration.","Ne morem pokazati konfiguracije."
"Can\'t specify product.","Ne morem določiti produkta."
"Can\'t submit application.","Ne morem potrditi aplikacije."
"Can\'t update cart.","Ne morem posodobiti košarice."
"Can\'t write to file ""%s"".","Ne morem zapisati v datoteko ""%s""."
"Can\t copy file ""%s"" to ""%s"".","Datoteke ne morem kopirati iz ""%s"" v ""%s""."
"Cancel","Prekini"
"Canceled","Prekinjeno"
"Cancelled","Prekinjeno"
"Cannot load theme ""%s"".","Ne morem naložiti teme ""%s""."
"Cannot save theme ""%s"". Incorrect data received","ne morem shraniti teme ""%s"". Prejeti napačni podatki"
"Card Verification Number","Verifikacijska Številka kartice"
"Card verification number is wrong","Verifikacijska Številka kartice je napačna"
"Carrier","Prevoznik"
"Cart","Košarica"
"Cart has been updated.","Košarica je bila posodobljena."
"Cart has some errors.","Košarica ima napake."
"Cart is empty.","Košarica je prazna."
"Cart line items are not eligible for exporting to PayPal API","Postavke v košarici ne izpolnjujejo pogojev za izvoz PayPal API"
"Catalog Only App?","Katalog Only App?"
"Category Button Color","Barva gumbov za kategorije"
"Category Item Background Color","Barva ozadja pri kategorijah produktov"
"Chairs","Stoli"
"Change Orientation","Spremeni smer"
"Change Password","Spremeni geslo"
"Checkout has been initialized.","Zaključek naročia je bil inicializiran."
"City","mesto"
"Color Themes","Barve tem"
"Colors","Barve"
"Company","Podjetje"
"Completed","Zaključeno"
"Confirm New Password","Potrdi novo geslo"
"Confirm Password","Potrdi geslo"
"Contact Email","E-naslov"
"Contact Information","Kontaktni podatki"
"Content","Vsebina"
"Copyright","Vse pravice pridržane"
"Copyright Page Logo","Vse pravice pridržane Logo"
"Copyright page logo","Vse pravice pridržane logo"
"Country","Država"
"Coupon code %s is not valid.","Koda kupona %s ni veljavna."
"Coupon code %s was applied.","Koda kupona %s je bila uporabljena."
"Coupon code is empty.","Koda kupona je prazna."
"Coupon code was canceled.","Koda kupona je bila odstranjena."
"Creating a Template is allowed only for applications which have device type iPhone.","Kreiranje predloge je dovoljeno le za aplikacije ki podpirajo iPhone."
"Credit Card Number","Številka kreditne kartice"
"Credit Card Type","Tip kreditne kartice"
"Credit card number does not match credit card type.","Številka kreditne kartice se ne ujema s tipom kreditne kartice."
"Current Password","Trenutno geslo"
"Custom App Icon","App ikona po meri"
"Custom Colors","Barve po meri"
"Custom application icon","Ikona po meri za aplikacijo"
"Customer authentication problem.","Težava pri preverjanje pristnosti stranke."
"Customer email not specified.","Strankin e-naslov ni naveden."
"Customer logout problem.","Težava pri odjavi."
"Customer not logged in.","Težava pri prijavi."
"Date Created","Datum kreiranja"
"Date Submitted","Datum potrditve"
"Date Updated","Datum posodobitve"
"Default Billing Address","Privzet Naslov za plačevanje"
"Default Shipping Address","Privzet Naslov za dostavo"
"Default Theme","Privzeta tema"
"Delete","Zbriši"
"Deleted","Zbrisano"
"Description","Opis"
"Description that appears in the iTunes App Store. 4000 chars maximum. ","Opis, ki se pojavi v iTunes App trgovini. 4000 znakov max. "
"Design","Oblika"
"Device","Naprava"
"Device Information","Podatki o napravi"
"Device Type","Tip naprave"
"Device doesn\'t recognized. Unable to load a template.","Naprava ni bila prepoznana. Ne morem naložiti predloge."
"Device doesn\'t recognized: ""%s"". Unable to load a helper.","Naprava ni bila prepoznana: ""%s"". Ne morem naložiti pomoči."
"Edit","Uredi"
"Edit AirMail Message","Uredi sporočilo zračne pošte"
"Edit AirMail Message Queue #%s","Uredi sporočilo zračne pošte #%s"
"Edit App ""%s""","Uredi App ""%s"""
"Edit Filter","Uredi Filter"
"Edit Template ""%s""","Uredi predlogo ""%s"""
"Email","E-naslov"
"Email Address","E-naslov"
"Enable AirMail Message Push notification","Omogoč Airmail obveščanje"
"Enable Flurry Analytics","Omogoči Flurry analizo"
"Enable Flurry Analytics for the merchant.","Omogoči Flurry analizo za trgovca."
"Enable Standard Checkout","Omogoči standardni zaključek nakupa"
"Error while processing file ""%s"".","Napaka ob obdelavi datoteke ""%s""."
"Error while uploading file ""%s"".","Napaka ob nalaganju datoteke ""%s""."
"Error while uploading file ""%s"". Disallowed file type. Only ""jpg"", ""jpeg"", ""gif"", ""png"" are allowed.","Napaka bo nalaganju datoteke ""%s"". Nepravilni tipi datotek. Le formati ""jpg"", ""jpeg"", ""gif"", ""png"" so dovoljeni."
"Error.","Napaka."
"Expiration Date - Month","Datum veljavnosti - Mesec"
"Expiration Date - Year","Datum veljavnosti - Leto"
"Extensions","Razširitev
"FILTERS APPLIED","FILTRI UPORABLJENI"
"Fax","Faks"
"File doesn\'t exist ""%s"".","Datoteka ne obstaja ""%s""."
"First Name","Ime"
"Flurry Analytics","Flurry Analiza"
"Flurry Analytics Site","Flurry analiza - stran"
"Flurry Api Code","Flurry Api koda"
"Fonts","Pisave"
"Free","Brezplačno"
"Funk Leaf","Funk Leaf"
"General","Splošno"
"Get Activation Key","Dobi ključ za aktivacijo"
"Get Content from CMS Page","Dobi obrazec za vsebino iz CMS strani"
"Grand Total (Excl. Tax)","Skupaj (brez DDV)"
"Grand Total (Incl. Tax)","Skupaj (z DDV)"
"Guest","Gost"
"Header Background Color","Barva ozadja pri glavi strani"
"Header Font Color","Barva pisave v glavi strani"
"Home","Domov"
"Hot Red","Vroča rdeča"
"ID","ID"
"Icon that will appear on the user’s phone after they download your app.  You do not need to apply a gradient or soft edges (this is done automatically by Apple).  Recommended size: 57px x 57px at 72 dpi.","Ikona, ki se bo prikazala na uporabnikovem telefonu, ko si bo naložil vašo aplikacijo. Ni vam potrebno potrjevati gradientov (to je samodejno potrjeno s strani Apple).  Priporočena velikost: 57px x 57px in 72 dpi."
"Icons","Ikone"
"If leave this field empty, the message will be sent immediately","Če boste pustili to polje prazno, bo sporočilo poslano nemudoma"
"Image file was not found.","Datoteka slike ni bila najdena."
"Image that appears on first screen while your app is loading. Required size: 320px x 460px.","Slike, ki se bo prikazala na ekranu medtem ko se aplikacija nalaga. Priporočena velikost: 320px x 460px."
"Images","Slike"
"In Queue","V vrsti"
"In Stock","INa zalogi
"In order to resubmit your app, you need to first purchase a <a href=""%s"" target=""_blank"">%s</a> from MagentoCommerce","Da bi ponovno potrdili svojo aplikacijo, morate najprej kupiti <a href=""%s"" target=""_blank"">%s</a> pri MagentoCommerce"
"In order to submit your app, you need to first purchase a <a href=""%s"" target=""_blank"">%s</a> from MagentoCommerce","Da bi potrdili svojo aplikacijo, morate najprej kupiti <a href=""%s"" target=""_blank"">%s</a> pri MagentoCommerce"
"Inactive Tabs","Neaktivni zavihki"
"Invalid XML.","Neveljaven XML."
"Invalid current password.","Neveljavno geslo."
"Invalid customer data.","Neveljavni podatki o stranki."
"Invalid data.","Neveljavni podatki."
"Invalid email address.","Neveljaven elektronski naslov."
"Invalid item or wishlist.","Neveljaven izdelek ali lista želja."
"Invalid login or password.","Neveljavno uporabniško ime ali geslo."
"Invalid shipping method.","Neveljaven način dostave."
"Issue Number","Število težave"
"It\'s not allowed to delete submitted application.","Potrjene aplikacije ni dovoljeno brisati."
"Item has been added to cart.","Izdelek je bil dodan v košarico."
"Item has been deleted from cart.","Izdelek je bil odstranjen iz košarice."
"Item has been removed from wishlist.","Izdelek je bil odstranjen z liste želja."
"Items were updated. But can\'t update wishlist.","Izdelki so bili posodobljeni. Vendar ne morem posodobiti liste želja."
"Key","Ključ"
"Keywords","Ključne besede"
"Label","Oznaka"
"Large iTunes Icon","Velika iTunes ikona"
"Large icon that appears in the iTunes App Store. You do not need to apply a gradient or soft edges (this is done automatically by Apple). Required size: 512px x 512px.","Velika ikona, ki se pojavi na iTunes App trgovini. Ni vam potrebno posebej potrjevati gradientov (to je samodejno potrjeno s strani Apple). Priporočena velikost: 512px x 512px."
"Last Name","Priimek"
"Loader Splash Screen","Nalagalnik pozdravnega zaslona"
"Log In","Prijava"
"Login and password are required.","Uporabniško ime in geslo sta obvezna."
"Logo in Header","Logo v glavi"
"Logout complete.","Uspešno ste se odjavili."
"MEP is PayPal`s native checkout experience for the iPhone. You can choose to use MEP alongside standard checkout, or use it as your only checkout method for Magento mobile. PayPal MEP requires a <a href=""%s"">PayPal business account</a>","MEP je PayPal-ov osnovni način za zaključek načina za iPhone. Lahko izbirate med uporabo MEP standardnega postopka zaključka naročila, ali uporabite svoj način za zaključek naročila.. PayPal MEP zahteva a <a href=""%s"">PayPal poslovni račun</a>"
"Mailbox title","Naziv poštnega nabiralnika"
"Main Tabs","Glavni zavihki"
"Make Inactive","Naredi neaktivno"
"Make this app available in the following territories","Naredi to aplikacijo na voljo na sledečih področjih"
"Manage Apps","Upravljanje aplikacije"
"Manage Mobile App","Upravljanje mobilne aplikacije"
"Maximum length is 140","Max dolžina je 140"
"Maximum length is 255","Max dolžina je 255"
"Merchant Label","Oznaka trgovca"
"Message Queue","Vrsta sporočil"
"Message Settings","Nastavitev sporočil"
"Message Templates","Predloge sporočil"
"Message Title","Naziv sporočila"
"Message Type","Tip sporočilae"
"Message can not be edited when it\'s status NOT is ""IN QUEUE"".","Sporočilo ni možno urejati medtem ko je njegov status NOT ""V VRSTI""."
"Message content","Vsebina sporočila"
"Message title","Naziv sporočila"
